name,sg_price,jb_price,sg_url,jb_url
LA ROCHE-POSAY Cicaplast Baume B5 (Skin Repair & Soothing Moisturiser with Panthenol for Irritated & Dry Skin) 100ml,S$47.12,RM112.40,https://www.watsons.com.sg/la-roche-posay-cicaplast-baume-b5-skin-repair-soothing-moisturiser-with-panthenol-for-irritated-dry-skin-100ml/p/BP_28121,https://www.watsons.com.my/la-roche-posay-cicaplast-baume-b5-100ml/p/BP_82071
LA ROCHE-POSAY Cicaplast Baume B5 (Skin Repair & Soothing Moisturiser with Panthenol for Irritated & Dry Skin) 40ml,S$23.76,RM56.93,https://www.watsons.com.sg/la-roche-posay-cicaplast-baume-b5-skin-repair-soothing-moisturiser-with-panthenol-for-irritated-dry-skin-40ml/p/BP_59889,https://www.watsons.com.my/la-roche-posay-cicaplast-baume-b5-spf50-40ml/p/BP_1017643
LA ROCHE-POSAY Hyalu B5 Eye Serum (Intensive Repair) 15ml,S$55.60,RM147.68,https://www.watsons.com.sg/la-roche-posay-hyalu-b5-eye-serum-intensive-repair-15ml/p/BP_42651,https://www.watsons.com.my/la-roche-posay-hyalu-b5-serum-anti-wrinkle-30ml/p/BP_49080
LA ROCHE-POSAY Toleriane Caring Wash 200ml,$38,RM66.67,https://www.watsons.com.sg/la-roche-posay-toleriane-caring-wash-200ml/p/BP_69936,https://www.watsons.com.my/la-roche-posay-toleriance-caring-wash-200ml/p/BP_48999
LA ROCHE-POSAY Anthelios UV Air™ Vitamin Sun Stick SPF50+ 10g,S$29.52,RM62.93,https://www.watsons.com.sg/la-roche-posay-anthelios-uvair%E2%84%A2-vitamin-sun-stick-spf50-10g/p/BP_15135,https://www.watsons.com.my/la-roche-posay-anthelios-uvair%E2%84%A2-vitamin-sun-stick-spf50-10ml/p/BP_1030163
LA ROCHE-POSAY Cicaplast Baume B5+ Twin Pack (To Helps Nourish & Soothe Dry Skin & Irritated Areas) 100ml x 2s,$38,RM176.31,https://www.watsons.com.sg/la-roche-posay-cicaplast-baume-b5-twin-pack-to-helps-nourish-soothe-dry-skin-irritated-areas-100ml-x-2s/p/BP_84765,https://www.watsons.com.my/la-roche-posay-cicaplast-baume-twinpack/p/BP_1017726
LA ROCHE-POSAY Lipikar Syndet AP+ 400ml,$38,RM67.42,https://www.watsons.com.sg/la-roche-posay-lipikar-syndet-ap-400ml/p/BP_62598,https://www.watsons.com.my/la-roche-posay-lipikar-syndet-ap-body-cream-wash-400ml/p/BP_50324
LA ROCHE-POSAY Anthelios UV Air Serum Sunscreen SPF50+ 50ml,S$37.52,RM89.93,https://www.watsons.com.sg/la-roche-posay-anthelios-uv-air-serum-sunscreen-spf50-50ml/p/BP_57590,https://www.watsons.com.my/la-roche-posay-anthelios-uv-air-serum-suncreen-spf50-50ml/p/BP_1028629
LA ROCHE-POSAY Anthelios Invisible Fluid SPF50+ 15ml,$38,RM97.93,https://www.watsons.com.sg/la-roche-posay-anthelios-invisible-fluid-spf50-15ml/p/BP_15075,https://www.watsons.com.my/la-roche-posay-anthelios-uvmune-400-invisible-fluid-spf50-50ml-expiry-date-feb-2027/p/BP_49451
LA ROCHE-POSAY Anthelios UVMUNE 400 Anti-Dark Spots Fluid SPF50+ PA++++ 50ml,S$47.60,RM104.93,https://www.watsons.com.sg/la-roche-posay-anthelios-uvmune-400-anti-dark-spots-fluid-spf50-pa-50ml/p/BP_84320,https://www.watsons.com.my/la-roche-posay-anthelios-uvmune-400-tinted-fluid-spf50-50ml/p/BP_48675
LA ROCHE-POSAY Uvidea Anthelios Tone Up Rosy (Anti-UV Anti Fine Particles) 30ml,S$45.52,RM104.93,https://www.watsons.com.sg/la-roche-posay-uvidea-anthelios-tone-up-rosy-anti-uv-anti-fine-particles-30ml/p/BP_21937,https://www.watsons.com.my/la-roche-posay-anthelios-uvidea-tone-up-light-30ml/p/BP_48909
LA ROCHE-POSAY Effaclar Foaming Cream Cleanser (Remove Excess Oil + Minimize Pores) 125ml,S$29.56,RM64.20,https://www.watsons.com.sg/la-roche-posay-effaclar-foaming-cream-cleanser-remove-excess-oil-minimize-pores-125ml/p/BP_41723,https://www.watsons.com.my/la-roche-posay-effaclar-foaming-gel-cleanser-200ml/p/BP_49244
BIODERMA Sensibio Defensive Active Soothing Moisturiser (Soothes Sensitive and Sensitised Skin) 40ml,S$28.50,RM109.88,https://www.watsons.com.sg/bioderma-sensibio-defensive-active-soothing-moisturiser-soothes-sensitive-and-sensitised-skin-40ml/p/BP_27215,https://www.watsons.com.my/bioderma-sensibio-defensive-active-soothing-cream-40ml/p/BP_49478
"BIODERMA Hydrabio Hyalu+Serum (Anti Ageing, Anti Wrinkle For Dehydrated Sensitive Skin) 30ml",S$79.90,RM179.90,https://www.watsons.com.sg/bioderma-hydrabio-hyalu-serum-anti-ageing-anti-wrinkle-for-dehydrated-sensitive-skin-30ml/p/BP_51627,https://www.watsons.com.my/bioderma-hydrabio-hyalu-serum-30ml/p/BP_1015250
COSRX Low pH Good Morning Gel Cleanser 150ml,$38,RM41.40,https://www.watsons.com.sg/cosrx-low-ph-good-morning-gel-cleanser-150ml/p/BP_95859,https://www.watsons.com.my/cosrx-peanuts-low-ph-good-morning-gel-cleanser-150ml/p/BP_1026701
COSRXAC Collection Acne Patch 26s,$38,RM28.80,https://www.watsons.com.sg/cosrx-ac-collection-acne-patch-26s/p/BP_86267,https://www.watsons.com.my/cosrx-ac-collection-acne-patch-26s/p/BP_26590
COSRXAHA/BHA Clarifying Treatment Toner 150ml,$38,RM57.04,https://www.watsons.com.sg/cosrx-aha-bha-clarifying-treatment-toner-150ml/p/BP_81786,https://www.watsons.com.my/cosrx-aha-bha-clarifying-treatment-toner-150ml/p/BP_62596
COSRX The Niacinamide 15 Serum (Suitable For Oily & Combination Skin Type) 20ml,$38,RM64.80,https://www.watsons.com.sg/cosrx-the-niacinamide-15-serum-suitable-for-oily-combination-skin-type-20ml/p/BP_34519,https://www.watsons.com.my/cosrx-the-niacinamide-15-serum-20ml/p/BP_49077
HADA LABO Hydrating Snow Dew (For Instant Refreshing Feel) 50g,S$33.25,RM57.05,https://www.watsons.com.sg/hada-labo-hydrating-snow-dew-for-instant-refreshing-feel-50g/p/BP_93332,https://www.watsons.com.my/hada-labo-hydrating-snow-dew-cream-50g/p/BP_21763
HADA LABO Hydrating Foaming Wash (Hydrating Wash With Hyaluronic Acid + Suitable For Dry Skin) 160ml,S$17.10,RM33.60,https://www.watsons.com.sg/hada-labo-hydrating-foaming-wash-hydrating-wash-with-hyaluronic-acid-suitable-for-dry-skin-160ml/p/BP_59712,https://www.watsons.com.my/hada-labo-blemish-oil-control-hydrating-foaming-wash-160ml/p/BP_99595
HADA LABO Premium Hydrating Night Cream (Anti-Wrinkle + Maintain Skin Elasticity + Improve Dry & Dehydrated Aging Skin) 50g,S$39.30,RM57.05,https://www.watsons.com.sg/hada-labo-premium-hydrating-night-cream-anti-wrinkle-maintain-skin-elasticity-improve-dry-dehydrated-aging-skin-50g/p/BP_32644,https://www.watsons.com.my/hada-labo-premium-hydrating-cream-50g/p/BP_99594
"HADA LABO Mild Peeling Lotion (Gentle Exfoliation With AHA & BHA To Remove Dead Skin Cells Suitable For Rough, Dull Skin) 170ML",$38,RM51.45,https://www.watsons.com.sg/hada-labo-mild-peeling-lotion-gentle-exfoliation-with-aha-bha-to-remove-dead-skin-cells-suitable-for-rough-dull-skin-170ml/p/BP_89511,https://www.watsons.com.my/hada-labo-aha-bha-mild-peeling-lotion-170ml/p/BP_38257
"HADA LABOAHA BHA Exfoliating Wash (Gentle Exfoliation With AHA & BHA To Remove Dead Skin Cells Suitable For Rough, Dull Skin) 130g",$38,RM28.00,https://www.watsons.com.sg/hada-labo-aha-bha-exfoliating-wash-gentle-exfoliation-with-aha-bha-to-remove-dead-skin-cells-suitable-for-rough-dull-skin-130g/p/BP_46703,https://www.watsons.com.my/hada-labo-aha-bha-exfoliating-face-wash-130g/p/BP_73399
"HADA LABOAHA BHA Oil Control Wash(Oil Control With AHA & BHA To Remove Dead Skin Cells Suitable For Rough, Dull Skin) 130g",$38,RM28.00,https://www.watsons.com.sg/hada-labo-aha-bha-oil-control-wash-oil-control-with-aha-bha-to-remove-dead-skin-cells-suitable-for-rough-dull-skin-130g/p/BP_19309,https://www.watsons.com.my/hada-labo-aha-bha-oil-control-face-wash-130g/p/BP_88587
HADA LABO Premium Hydrating Milk 90ml,S$19.90,RM14.90,https://www.watsons.com.sg/hada-labo-premium-hydrating-milk-90ml/p/BP_95662,https://www.watsons.com.my/hada-labo-premium-hydrating-lotion-30ml/p/BP_45512
HADA LABO Gokujyun Aging Care Face Wash (Suitable For Sensitive Skin) 100g,$38,RM27.23,https://www.watsons.com.sg/hada-labo-gokujyun-aging-care-face-wash-suitable-for-sensitive-skin-100g/p/BP_53218,https://www.watsons.com.my/hada-labo-aging-care-face-wash-100g/p/BP_1005379
HADA LABO Premium Hydrating Lotion (Serum Like Lotion With 7 Types Of Hyaluronic Acid For Dry & Dehydrated Skin) 170ml,S$27.20,RM51.45,https://www.watsons.com.sg/hada-labo-premium-hydrating-lotion-serum-like-lotion-with-7-types-of-hyaluronic-acid-for-dry-dehydrated-skin-170ml/p/BP_65097,https://www.watsons.com.my/hada-labo-hydrating-lotion-170ml-rich/p/BP_73408
HADA LABO Blemish & Oil Control Hydrating Lotion (Oil Control Lotion For Oily & Combination Skin) 170ml,$38,RM51.45,https://www.watsons.com.sg/hada-labo-blemish-oil-control-hydrating-lotion-oil-control-lotion-for-oily-combination-skin-170ml/p/BP_96580,https://www.watsons.com.my/hada-labo-blemish-oil-control-hydrating-lotion-170ml/p/BP_99596
